ExperimentName	Subject	Session	Clock.Information	cross800x600	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	instructionfMRI	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	thanks	Block	Correct1	Correct2	ID	Left	Mid	Procedure	Right	Running	Slide1.ACC	Slide1.CRESP	Slide1.DurationError	Slide1.OnsetDelay	Slide1.OnsetTime	Slide1.OnsetToOnsetTime	Slide1.RESP	Slide1.RT	Slide1.RTTime	triallist	triallist.Cycle	triallist.Sample	type
Emotion_fMRI	6	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2240906</Frequency><Timestamp dt:dt="r8">210070690441</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\cross800x600	Emotion_fMRI-6-1	60.008	1.0.0.61	1	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\instructionfMRI	-382268516	Standard	2.0.10.356	2.0.10.356	07-23-2016	2016/7/23 3:24	11:24:33	2.0.10.252	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\thanks	1	0	0	1	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\111.bmp	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\000.bmp	trialproc	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\222.bmp	triallist	0		-22	22	99544	0		0	0	1	2	1	40
Emotion_fMRI	6	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2240906</Frequency><Timestamp dt:dt="r8">210070690441</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\cross800x600	Emotion_fMRI-6-1	60.008	1.0.0.61	1	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\instructionfMRI	-382268516	Standard	2.0.10.356	2.0.10.356	07-23-2016	2016/7/23 3:24	11:24:33	2.0.10.252	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\thanks	2	1	3	2	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\FM15.bmp	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\FM6.bmp	trialproc	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\AM18.bmp	triallist	0		-21	21	104543	0		0	0	2	2	2	11
Emotion_fMRI	6	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2240906</Frequency><Timestamp dt:dt="r8">210070690441</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\cross800x600	Emotion_fMRI-6-1	60.008	1.0.0.61	1	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\instructionfMRI	-382268516	Standard	2.0.10.356	2.0.10.356	07-23-2016	2016/7/23 3:24	11:24:33	2.0.10.252	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\thanks	3	1	3	3	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\FF20.bmp	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\FF6.bmp	trialproc	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\AF27.bmp	triallist	1	1	-21	21	109543	0	1	3379	112922	3	2	3	11
Emotion_fMRI	6	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2240906</Frequency><Timestamp dt:dt="r8">210070690441</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\cross800x600	Emotion_fMRI-6-1	60.008	1.0.0.61	1	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\instructionfMRI	-382268516	Standard	2.0.10.356	2.0.10.356	07-23-2016	2016/7/23 3:24	11:24:33	2.0.10.252	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\thanks	4	1	3	4	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\FF12.bmp	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\FF13.bmp	trialproc	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\AF9.bmp	triallist	1	1	-21	21	114543	0	1	4355	118898	4	2	4	11
Emotion_fMRI	6	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2240906</Frequency><Timestamp dt:dt="r8">210070690441</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\cross800x600	Emotion_fMRI-6-1	60.008	1.0.0.61	1	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\instructionfMRI	-382268516	Standard	2.0.10.356	2.0.10.356	07-23-2016	2016/7/23 3:24	11:24:33	2.0.10.252	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\thanks	5	2	4	5	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\FM34.bmp	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\AM24.bmp	trialproc	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\AM13.bmp	triallist	0		-20	20	119542	0		0	0	5	2	5	11
Emotion_fMRI	6	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2240906</Frequency><Timestamp dt:dt="r8">210070690441</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\cross800x600	Emotion_fMRI-6-1	60.008	1.0.0.61	1	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\instructionfMRI	-382268516	Standard	2.0.10.356	2.0.10.356	07-23-2016	2016/7/23 3:24	11:24:33	2.0.10.252	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\thanks	6	1	3	6	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\AM10.bmp	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\AM29.bmp	trialproc	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\FM36.bmp	triallist	0		-20	20	124542	0		0	0	6	2	6	11
Emotion_fMRI	6	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2240906</Frequency><Timestamp dt:dt="r8">210070690441</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\cross800x600	Emotion_fMRI-6-1	60.008	1.0.0.61	1	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\instructionfMRI	-382268516	Standard	2.0.10.356	2.0.10.356	07-23-2016	2016/7/23 3:24	11:24:33	2.0.10.252	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\thanks	7	2	4	7	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\AM15.bmp	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\FM20.bmp	trialproc	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\FM33.bmp	triallist	0	2	-20	20	129542	0	1	3340	132882	7	2	7	11
Emotion_fMRI	6	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2240906</Frequency><Timestamp dt:dt="r8">210070690441</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\cross800x600	Emotion_fMRI-6-1	60.008	1.0.0.61	1	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\instructionfMRI	-382268516	Standard	2.0.10.356	2.0.10.356	07-23-2016	2016/7/23 3:24	11:24:33	2.0.10.252	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\thanks	8	0	0	8	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\333.bmp	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\000.bmp	trialproc	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\444.bmp	triallist	0		-19	19	134541	0		0	0	8	2	8	50
Emotion_fMRI	6	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2240906</Frequency><Timestamp dt:dt="r8">210070690441</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\cross800x600	Emotion_fMRI-6-1	60.008	1.0.0.61	1	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\instructionfMRI	-382268516	Standard	2.0.10.356	2.0.10.356	07-23-2016	2016/7/23 3:24	11:24:33	2.0.10.252	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\thanks	9	2	4	9	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\hori.bmp	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\vert.bmp	trialproc	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\vert.bmp	triallist	1	2	-19	19	139541	0	2	2157	141698	9	2	9	22
Emotion_fMRI	6	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2240906</Frequency><Timestamp dt:dt="r8">210070690441</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2016-07-23T03:24:33Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\cross800x600	Emotion_fMRI-6-1	60.008	1.0.0.61	1	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\instructionfMRI	-382268516	Standard	2.0.10.356	2.0.10.356	07-23-2016	2016/7/23 3:24	11:24:33	2.0.10.252	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\thanks	10	1	3	10	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\vert.bmp	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\vert.bmp	trialproc	C:\Users\iCAN\Desktop\HanProject\programs\\Emotion_fMRI\stimulus\hori.bmp	triallist	1	1	-19	19	144541	0	1	1165	145706	10	2	10	22
